Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","2016","2016","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","2017","2017","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","2018","2018","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1325","Herbicides – Dinitroanilines","2019","2019","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","1990","1990","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","1991","1991","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","1992","1992","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","1993","1993","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","1994","1994","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","1995","1995","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","1996","1996","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","1997","1997","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","1998","1998","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","1999","1999","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","2000","2000","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","2001","2001","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","2002","2002","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","2003","2003","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","2004","2004","","","",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1326","Herbicides – Urea derivates","2005","2005","","","",""
