Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1964","1964","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1965","1965","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1966","1966","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1967","1967","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1968","1968","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1969","1969","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1970","1970","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1971","1971","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1972","1972","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1973","1973","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1974","1974","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1975","1975","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1976","1976","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1977","1977","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1978","1978","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1979","1979","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1980","1980","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1981","1981","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1982","1982","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1983","1983","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1984","1984","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1985","1985","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1986","1986","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1987","1987","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1988","1988","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1989","1989","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1990","1990","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1991","1991","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1992","1992","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1993","1993","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1994","1994","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1995","1995","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1996","1996","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1997","1997","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1998","1998","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","1999","1999","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","2000","2000","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","2001","2001","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","2002","2002","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","2003","2003","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","2004","2004","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","2005","2005","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","2006","2006","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","2007","2007","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","2008","2008","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","2009","2009","","","",""
"CB","Commodity Balances (non-food)","21","Brazil","5166","Residuals","2558","Rape and Mustardseed","2010","2010","","","",""
